PROFILE_KEY,MARKET_NAME,HOTEL_NAME,PROPERTY_PAGE_URL,AVAILABILITY_URL,OFFER_START_DATE,OFFER_END_DATE,MARKET_STATE,MARKET_CITY,PROPERTY_STATE,PROPERTY_CITY,ADDRESS1,ZIP,MARSHA_CODE,REGION,TOP_DESTINATION,PROPERTY_CITY_STATE,FULL_ADDRESS,SEARCH_FIELD,PRICE_RANGE,PRICE_RANGE_SUFFIX,ORIGINAL_PRICE_RANGE
MGMBR20151109,Alabama - Montgomery,Renaissance Montgomery Hotel & Spa at the Convention Center,www.marriott.com/property/propertyPage/MGMBR?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=MGMBR&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,Alabama,Montgomery,AL,Montgomery,201 Tallapoosa Street,36104,mgmbr,SOUTH EAST,FALSE,"Montgomery, AL","201 Tallapoosa Street, Montgomery, AL 36104",ALABAMAMONTGOMERYALMONTGOMERY36104SOUTH EAST,$135,USD/night,$169
MGMPC20151109,Alabama - Montgomery,Courtyard Montgomery Prattville,www.marriott.com/property/propertyPage/MGMPC?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=MGMPC&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,Alabama,Montgomery,AL,Prattville,2620 Legends Parkway,36066,mgmpc,SOUTH EAST,FALSE,"Prattville, AL","2620 Legends Parkway, Prattville, AL 36066",ALABAMAMONTGOMERYALPRATTVILLE36066SOUTH EAST,$103-$139,USD/night,$129-$174
MGMTR20151109,Alabama - Montgomery,Courtyard Troy,www.marriott.com/property/propertyPage/MGMTR?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=MGMTR&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,Alabama,Montgomery,AL,Troy,115 Troy Plaza Loop,36081,mgmtr,SOUTH EAST,FALSE,"Troy, AL","115 Troy Plaza Loop, Troy, AL 36081",ALABAMAMONTGOMERYALTROY36081SOUTH EAST,$83-$87,USD/night,$104-$109
IGMSH20151109,Arizona - Kingman,SpringHill Suites Kingman Route 66,www.marriott.com/property/propertyPage/IGMSH?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=IGMSH&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,Arizona,Kingman,AZ,Kingman,3101 East Andy Devine Avenue,86401,igmsh,MOUNTAIN,FALSE,"Kingman, AZ","3101 East Andy Devine Avenue, Kingman, AZ 86401",ARIZONAKINGMANAZKINGMAN86401MOUNTAIN,$87-$95,USD/night,$109-$119
ROGFI20151109,Arkansas - Rogers,Fairfield Inn & Suites Bentonville Rogers,www.marriott.com/property/propertyPage/ROGFI?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=ROGFI&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,Arkansas,Rogers,AR,Rogers,4611 W Rozell Street,72756,rogfi,SOUTH CENTRAL,FALSE,"Rogers, AR","4611 W Rozell Street, Rogers, AR 72756",ARKANSASROGERSARROGERS72756SOUTH CENTRAL,$83-$103,USD/night,$104-$129
BURAP20151109,California - Los Angeles,Los Angeles Marriott Burbank Airport,www.marriott.com/property/propertyPage/BURAP?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=BURAP&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,California,Los Angeles,CA,Burbank,2500 North Hollywood Way,91505,burap,PACIFIC,TRUE,"Burbank, CA","2500 North Hollywood Way, Burbank, CA 91505",CALIFORNIALOS ANGELESCABURBANK91505PACIFIC,$159-$183,USD/night,$199-$229
LAXBH20151109,California - Los Angeles,Residence Inn Long Beach,www.marriott.com/property/propertyPage/LAXBH?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=LAXBH&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,California,Los Angeles,CA,Long Beach,4111 East Willow Street,90815,laxbh,PACIFIC,TRUE,"Long Beach, CA","4111 East Willow Street, Long Beach, CA 90815",CALIFORNIALOS ANGELESCALONG BEACH90815PACIFIC,$119-$167,USD/night,$149-$209
LAXJW20151109,California - Los Angeles,JW Marriott Los Angeles L.A. LIVE,www.marriott.com/property/propertyPage/LAXJW?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=LAXJW&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,California,Los Angeles,CA,Los Angeles,900 West Olympic Boulevard,90015,laxjw,PACIFIC,TRUE,"Los Angeles, CA","900 West Olympic Boulevard, Los Angeles, CA 90015",CALIFORNIALOS ANGELESCALOS ANGELES90015PACIFIC,$215,USD/night,$269
LAXLD20151109,California - Los Angeles,Courtyard Los Angeles L.A. LIVE,www.marriott.com/property/propertyPage/LAXLD?corporateCode=MEB&fromDate=11/12/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=LAXLD&cc=MEB&fromDate=11/12/15&toDate=11/15/15,20151112,20151115,California,Los Angeles,CA,Los Angeles,901 West Olympic Boulevard,90015,laxld,PACIFIC,TRUE,"Los Angeles, CA","901 West Olympic Boulevard, Los Angeles, CA 90015",CALIFORNIALOS ANGELESCALOS ANGELES90015PACIFIC,$199-$215,USD/night,$249-$269
LAXMB20151109,California - Los Angeles,Marina del Rey Marriott,www.marriott.com/property/propertyPage/LAXMB?corporateCode=MEB&fromDate=11/13/15&toDate=11/15/15,www.marriott.com/reservation/availability.mi?propertyCode=LAXMB&cc=MEB&fromDate=11/13/15&toDate=11/15/15,20151112,20151115,California,Los Angeles,CA,Marina del Rey,4100 Admiralty Way,90292,laxmb,PACIFIC,TRUE,"Marina del Rey, CA","4100 Admiralty Way, Marina del Rey, CA 90292",CALIFORNIALOS ANGELESCAMARINA DEL REY90292PACIFIC,$199*,USD/night,$249
